IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Code,,
GST,Gustavus Airport,Gustavus,AK,USA,58.42438,-135.70738,11997,1,Gustavus
GTF,Great Falls International Airport,Great Falls,MT,USA,47.482,-111.37069,12003,6,Great Falls International
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,USA,33.45033,-88.59137,12007,4,Golden Triangle Regional
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,USA,38.53396,-106.93318,12012,5,Gunnison-Crested Butte Regional
GUM,Guam International Airport,Agana,GU,USA,13.48345,-144.79598,12016,4,Guam International
HDN,Yampa Valley Airport?(Yampa Valley Regional),Hayden,CO,USA,40.48118,-107.21766,12094,78,Yampa Valley ?(Yampa Valley Regional)
HIB,Range Regional Airport?(Chisholm-Hibbing Airport),Hibbing,MN,USA,47.3866,-92.83899,12129,35,Range Regional ?(Chisholm-Hibbing )
HLN,Helena Regional Airport,Helena,MT,USA,46.60682,-111.98275,12156,27,Helena Regional
HNL,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241,12173,17,Honolulu International
HOB,Lea County Regional Airport,Hobbs,NM,USA,32.68753,-103.21703,12177,4,Lea County Regional
HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889,12191,14,William P. Hobby
HPN,Westchester County Airport,White Plains,NY,USA,41.06696,-73.70757,12197,6,Westchester County
HRL,Valley International Airport,Harlingen,TX,USA,26.22851,-97.65439,12206,9,Valley International
HSV,Huntsville International Airport,Huntsville,AL,USA,34.64045,-86.77311,12217,11,Huntsville International
HYA,Barnstable Municipal Airport,Hyannis,MA,USA,41.66934,-70.28036,12250,33,Barnstable Municipal
HYS,Hays Regional Airport,Hays,KS,USA,38.84494,-99.27403,12255,5,Hays Regional
IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581,12264,9,Washington Dulles International
IAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.10726,-78.94538,12265,1,Niagara Falls International
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,12266,1,George Bush Intercontinental
ICT,Wichita Dwight D. Eisenhower National Airport?(Wichita Mid-Continent Airport),Wichita,KS,USA,37.64996,-97.43305,12278,12,Wichita Dwight D. Eisenhower National ?(Wichita Mid-Continent )
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,USA,43.51456,-112.07017,12280,2,Idaho Falls Regional
ILG,Wilmington Airport,Wilmington,DE,USA,39.67872,-75.60653,12320,40,Wilmington
ILM,Wilmington International Airport,Wilmington,NC,USA,34.27061,-77.90256,12323,3,Wilmington International
IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA,45.81835,-88.11454,12335,12,Ford
IND,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438,12339,4,Indianapolis International
INL,Falls International Airport,International Falls,MN,USA,48.56619,-93.40307,12343,4,Falls International
ISN,Sloulin Field International Airport,Williston,ND,USA,48.17794,-103.64235,12389,46,Sloulin Field International
ISP,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021,12391,2,Long Island MacArthur
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA,42.49103,-76.45844,12397,6,Ithaca Tompkins Regional
ITO,Hilo International Airport,Hilo,HI,USA,19.72026,-155.04847,12402,5,Hilo International
JAC,Jackson Hole Airport,Jackson,WY,USA,43.60732,-110.73774,12441,39,Jackson Hole
JAN,Jackson-Evers International Airport,Jackson,MS,USA,32.31117,-90.07589,12448,7,Jackson-Evers International
JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.49406,-81.68786,12451,3,Jacksonville International
JFK,John F. Kennedy International Airport?(New York International Airport),New York,NY,USA,40.63975,-73.77893,12478,27,John F. Kennedy International ?(New York International )
JLN,Joplin Regional Airport,Joplin,MO,USA,37.15181,-94.49827,12511,33,Joplin Regional
JMS,Jamestown Regional Airport,Jamestown,ND,USA,46.92972,-98.6782,12519,8,Jamestown Regional
JNU,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628,12523,4,Juneau International
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.73877,-156.04563,12758,235,Kona International  at Keahole
KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35557,-131.71374,12819,61,Ketchikan International
LAN,Capital Region International Airport?( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736,12884,65,Capital Region International ?( Lansing Capital City)
LAR,Laramie Regional Airport,Laramie,WY,USA,41.31205,-105.67499,12888,4,Laramie Regional
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,12889,1,McCarran International
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.56771,-98.41664,12891,2,Lawton-Fort Sill Regional
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,12892,1,Los Angeles International
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66364,-101.82278,12896,4,Lubbock Preston Smith International
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.27594,-79.4048,12898,2,Arnold Palmer Regional
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.1261,-93.2234,12915,17,Lake Charles Regional
LEX,Blue Grass Airport,Lexington,KY,USA,38.03697,-84.60539,12945,30,Blue Grass
LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98766,12951,6,Lafayette Regional
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261,12953,2,LaGuardia  (Marine Air Terminal)
LGB,Long Beach Airport?(Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161,12954,1,Long Beach ?(Daugherty Field)
LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896,12982,28,Lihue
LIT,Bill and Hillary Clinton National Airport?(Adams Field),Little Rock,AR,USA,34.7294,-92.22425,12992,10,Bill and Hillary Clinton National ?(Adams Field)
LNK,Lincoln Airport?(Lincoln Municipal),Lincoln,NE,USA,40.85097,-96.75925,13029,37,Lincoln ?(Lincoln Municipal)
LRD,Laredo International Airport,Laredo,TX,USA,27.54374,-99.46154,13061,32,Laredo International
LSE,La Crosse Regional Airport,La Crosse,WI,USA,43.87938,-91.25654,13076,15,La Crosse Regional
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA,46.3745,-117.01539,13127,51,Lewiston-Nez Perce County
MAF,Midland International Airport,Midland,TX,USA,31.94253,-102.20191,13158,31,Midland International
MBS,MBS International Airport,Saginaw,MI,USA,43.53291,-84.07965,13184,26,MBS International
MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391,13198,14,Kansas City International
MCO,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603,13204,6,Orlando International
MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.1935,-76.7634,13230,26,Harrisburg International
MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242,13232,2,Chicago Midway International
MEI,Meridian Regional Airport,Meridian,MS,USA,32.33313,-88.75121,13241,9,Meridian Regional
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667,13244,3,Memphis International
MFE,McAllen-Miller International Airport?(McAllen Miller International),McAllen,TX,USA,26.17583,-98.23861,13256,12,McAllen-Miller International ?(McAllen Miller International)
MFR,Rogue Valley International Airport,Medford,OR,USA,42.37423,-122.8735,13264,8,Rogue Valley International
MGM,Montgomery Regional Airport,Montgomery,AL,USA,32.30064,-86.39398,13277,13,Montgomery Regional
MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083,13290,13,Manhattan Regional
MHT,Manchester-Boston Regional Airport,Manchester,NH,USA,42.93452,-71.43706,13296,6,Manchester-Boston Regional
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,13303,7,Miami International
MKE,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658,13342,39,General Mitchell International
MKG,Muskegon County Airport,Muskegon,MI,USA,43.16949,-86.23822,13344,2,Muskegon County
MLB,Melbourne International Airport,Melbourne,FL,USA,28.10275,-80.64581,13360,16,Melbourne International
MLI,Quad City International Airport,Moline,IL,USA,41.44853,-90.50754,13367,7,Quad City International
MLU,Monroe Regional Airport,Monroe,LA,USA,32.51087,-92.03769,13377,10,Monroe Regional
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA,37.62405,-118.83777,13388,11,Mammoth Yosemite
MOB,Mobile Regional Airport,Mobile,AL,USA,30.69142,-88.24283,13422,34,Mobile Regional
MOT,Minot International Airport,Minot,ND,USA,48.25938,-101.28033,13433,11,Minot International
MQT,Sawyer International Airport,Marquette,MI,USA,46.35364,-87.39536,13459,26,Sawyer International
